feature,shap_importance
Q44,1.0925161228557623
Q15,1.0908354386888794
Q10_2,0.8949496396519232
Q29,0.8280781896548081
Q23,0.8086665618610287
Q7,0.7370185576970183
Q33,0.7334888515346317
Q40_1,0.5532459857632406
Q32,0.4129702701919769
Q30,0.4108886305909697
Q16,0.3963877589937085
Q26,0.3939470606111913
Q25,0.39185887418657617
Q3,0.3253268046487698
Q31,0.27264595989440743
Q10_1,0.2247772917012671
Q21,0.22079905814115736
Q1.1,0.19472632260670258
Q14,0.18662992645037654
Q22,0.17408167948934333
Q_40_3,0.1614718916214757
Q9,0.14772278079638493
Q40_2,0.1438385435611878
Q24,0.1399466515214324
Q5,0.12811406351612512
Q6,0.1172820483518254
Q28,0.10638269967156597
Q36,0.09680287226212836
Q35,0.06934752563894994
Q27,0.0693112734610751
Q11,0.052384772914497044
Q8,0.03841702475927296
Q34,0.033257176565548455
Q20,0.03232772458160636
Q19,0.02283126765134204
Q18,0.01968145868774691
Q1,0.014076263449233345
Q4,0.006958301697171355
Q10_3,0.003398733341946714
